rating,user,category,age,date,review,review_category
5,skj***,가족여행으로 좋아요,20대,2024.01.08,"3박 5일 여행내내 날씨가 좋았습니다. 초반 미팅때 가이드가 변경되었다 해서 걱정이 많았었는데, 박송호 가이드님을 만나게 되어서 정말 좋았습니다. 투어 진행하는 동안 베트남 역사도 재치있게 설명해주시고 가이드 경험담 썰도 재밌었습니다. 여유로운 일정 덕분에 패키지 속 자유여행을 즐길 수 있었습니다. 여행내내 우는 3세 아이 동반 패키지 일행이 있었는데 아이가 울어도 달래지 않는 부모가 있어 스트레스를 받았지만, 가이드님 배려로 나름 즐거운 여행이 되었습니다. 하나투어 패키지는 타사보다 리무진 버스 퀄리티가 굉장히 높아 만족스...","호텔이 관광지와 가까워요
일정이 여유로워요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 전문적이에요"
5,ys4***,가족여행으로 좋아요,50대,2024.01.04,처음으로 간 가족여행이었는데 일정도 잘짜였고 여유로워서 좋았어요. 간간히 들려주는 가이드의 베트남 이야기도 쿨팁! 중간중간 일처리가 노하우가 있었고 우비나 모자 맛난 코코넛 커피가 우리끼리 오면서도 말할만큼 맛난 커피였죠. 즐거운 추억을 만들어 주신 가이드님께 감사해요. 부디 건강하시길요^^,"객실이 깨끗해요
일정이 여유로워요
식당이 청결해요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
4,lhs****,가족여행으로 좋아요,50대,2023.12.30,다낭공항도착후 비가와서 걱정이었지만 이만석 가이드님의 리드하에 호이안씨클로 바구니배 야경투어 바나나힐테마파크 맛사지등 관광도 좋았고 호텔앞 미케비치 해변이 있어서 바다를 마음껏 즐길수 있어서 좋았습니다 베트남여행 좋아요,"현지 음식이 맛있어요
가격이 합리적이에요
가이드가 전문적이에요
가이드가 열정적이에요"
5,구월이,친구모임으로 좋아요,60대,2023.12.25,여행하는 내내 비가왓지만 가이드의세심한배려로 행복한여행이엇습니다 이동하는차안에서 베트남의역사와 관광지에 대해서 자세히설명해주셔서 베트남에대해서 이해하게되엇고 더즐거운여행이되엇습니다~ 같이여행하는 일행도 좋은분...,"호텔이 관광지와 가까워요
일정이 알차요
가격이 합리적이에요
현지 음식이 맛있어요
가이드가 전문적이에요"
5,lhw******,가족여행으로 좋아요,40대,2023.12.16,업계최고 황대연가이드분과 함께여행해서 너무행복했습니다 자칫가이드분이랑맞지않음 불편한 여행될수도있는데 모두분들께 세세함과배려 열정 친절함 어느한곳도 불편함없이 소중한추억 쌓고옵니다 친절함에너무도감사드리며 잊지못할 추억가지고옵니다 제가사장이면이분 최소한 이사 이상바로승진 시킵니다 ㅎㅎ여행하실분들이름기억하시고 같이여행하심 정말정말후회 없으실거예요 다시한번감사하다는말 꼭한번 더하고싶습니다 번창하세요,"객실이 깨끗해요
객실 뷰가 좋아요
현지 음식이 맛있어요
가이드가 전문적이에요
가격이 합리적이에요"
4,이신소서해,가족여행으로 좋아요,40대,2023.12.15,"시간이 아쉽고 다시 가고 싶은 다낭 여행이었습니다. 여러 번 가도 좋을 만큼 다낭은 즐겁고 맛있고,, 기억에 오래 남을 곳입니다. 다만 더워서 힘들고 패키지라 시간 제약 때문에 다음에는 자유 여행으로 가보고 싶어졌습니다. 바구니배 ,유람선, 소원등 선택관광도 괜찮았습니다.","호텔이 시내에 있어요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
4,195****,가족여행으로 좋아요,40대,2023.12.15,"다낭은 부모님과 아이와 여행하기에 다채롭고 재밌었습니당만, 가이드님이 여행지에대한 설명이 너무 부족해, 숙소와서 스스로 예습복습한게 아쉽습니다.가이드님 개인 경험썰 들으려 관광간게 아닌데, 차량이동내내..-.-;;; 패키지 여행특성상 가이드 배정복이 엄청 중요하구나 느꼈습니다.","객실이 깨끗해요
호텔 부대시설이 좋아요
일정이 알차요
현지 음식이 맛있어요
즐길 거리가 다양해요"
5,sun*****,친구모임으로 좋아요,50대,2023.12.14,"바쁜 일상 속 시간 맞추기 힘든 50대 아줌마들의. 여행!!!! 떠나기로 정하고 몇달 전부터 설레고 걱정도 되지만 일상을 벗어난다는 설레임을. 안고 떠난 여행길. 다낭은 ""경기도 다낭시 . "" 애칭을 느낄 수 있을만큼 우리나라 사람도 많고 현지인의 한국어실력도 뛰어났다. 가이드의 세심한 배려도 여행을즐겁게 해 주었다 모르던 베트남의 이야기도. 지루하지 않게 들려주고 우리 일행 중 비건인 친구를 위해 식사 배려도 감동!!!! 행복한 여행 다음에 또 가고싶게. 하는 여행. 내내 행복했어요♡♡♡♡","객실이 깨끗해요
일정이 알차요
현지 음식이 다양해요
가격만큼 가치 있어요
가이드가 배려 깊고 세심해요"
5,011********,가족여행으로 좋아요,40대,2023.12.09,패키지여행은 처음이라 걱정이 많았는데 가이드님의 배려로 마지막날에 공항에서는 서로 가족같은 느낌에 헤어짐이 울컥 했어요. 홍성호가이드님 넘 고마버요. 우여곡절이 많았던 울가족들 보고푸다요. 모두모두 건강행복하세요.,"객실이 깨끗해요
일정이 여유로워요
현지 음식이 맛있어요
가격만큼 가치 있어요
가이드가 전문적이에요"
5,구름빵,가족여행으로 좋아요,40대,2023.12.06,"호텔, 여행 일정, 음식 등 전반적으로 좋았습니다. 뭣보다 이수진 가이드님의 전문적인 안내 및 친절함과 배려가 좋았습니다. 다양한 연령대에 맞게 언어 사용에 있어서 세심한 배려로 팀을 이끌어주셨습니다.","객실 뷰가 좋아요
즐길 거리가 다양해요
식당이 청결해요
가격만큼 가치 있어요
가이드가 배려 깊고 세심해요"
5,pr0***,가족여행으로 좋아요,50대,2023.12.03,쉬지 않고 여행지 설명해 주시는 것에 감동했습니다. 아이들이 귀담아들었으면 더 좋았을 내용들이었는데 아쉬워요. 3박 5일 일정이 눈 깜짝 사이에 지나서 다음엔 좀 더 긴 여정도 가능할 것 같아요.,"호텔 부대시설이 좋아요
호텔이 시내에 있어요
일정이 알차요
현지 음식이 맛있어요
가이드가 전문적이에요"
5,hya****,가족여행으로 좋아요,60대,2023.12.02,베트남 날씨에 비 별로 맞지않고 즐겁게 여행 했읍니다 가이드의 설명도 귀에 쏙쏙 베트남의 역사도 우리와 비슷 한점에 형제애를 느끼고 ㅡㅡㅡ세계는 하나다,"호텔이 시내에 있어요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 전문적이에요"
5,hg7**,나홀로 여행으로 좋아요,20대,2023.11.21,"10월초 문승현 가이드님 덕분에 정말 즐거운 여행하고 왔습니다! 추천해주신 선택관광 모두 재미있었고, 추천해주신 것들 중 하나라도 안했으면 후회했을 것 같아요. 출발전에는 걱정도 되었지만 훌륭한 가이드님과 좋은 여행팀을 만나 첫 다낭여행을 성공적으로 다녀올 수 있었습니다.","가이드가 전문적이에요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요
가이드가 재밌어요
가격만큼 가치 있어요"
5,ste**********,가족여행으로 좋아요,30대,2023.11.21,"항상 자유여행만 다니다가 처음으로 패키지투어로 엄마 모시고 베트남을 다녀왔었는데, 너무 좋았습니다! 우기라 비가 올 것은 예상하고 갔었지만 날씨요정 김형권 가이드님 덕분에 생각보다 많이 불편하지는 않았습니다. 음식들도 너무 맛있었고 무엇보다 차를 타고 이동하는 도중에 가이드님께서 베트남문화나 역사에 대해 열정적으로 설명해주셔서 몰랐던 것도 많이 배우고 베트남에 대한 생각도 많이 바뀌었던 것 같습니다. 선택투어는 원래 계획했던 것 외에도 일정 상 거의 다 참여하게 되었었는데, 다 하고 오길 잘한것 같습니다! 부모님 모시고 패키지여행 ...","객실 뷰가 좋아요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
4,아주미,가족여행으로 좋아요,50대,2023.11.19,"넘나 성의없는 가이드님을 뭐라 평가하기 힘들군요. 의무적으로 ~!! 뭐, 가이드님이 운영하는 맛사지 샆만 거의 강매하듯 노골적으로 선택관광을 권유.. 옆에서 보기 좀 그렇네요. 저희는 사전예약 선택관광에 맛 사지 넣었더니 처다도 안보고, 안하시는 팀에게 거의강요함","호텔이 시내에 있어요
호텔에서 쉬기 좋아요
호텔이 관광지와 가까워요
일정이 여유로워요
현지 음식이 맛있어요"
5,bbibbi3050,가족여행으로 좋아요,50대,2023.11.13,하냐투어 30주년 베트남 다낭.호이안 패키지 가족여행 다녀왔어요!!!!!기대를 안하고 갔는데 너무 행복한 시간 보내고 왔어요 ~~3박4일 이라서 빡빡한 일정이였지만 알차게 보내고 왔어요 다낭에서 홍자 디너쇼까지 보게될 줄이야 ㅎㅎ 가이드분도 친절하시고 관광지마다 전문적으로 설명을 잘해주셔서 아직도 기억에 남네요!!!!!김학주 가이드님 덕분에 최고 👍 👍 👍 의 가족여행 이었어요 ~~감사합니다 💕 건강 하세요,"객실 뷰가 좋아요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
5,jch****,나홀로 여행으로 좋아요,60대,2023.11.12,가이드의 완벽한 정성과 세심함 그리고 친절함 모두가 최고 였으며 다낭의 활기 넘치는 도시의 정겨움과 다낭 시민 들의 따스함에 또 감동 저는 매우 행복 했습니다 꼭 다시 갈겁니다 사랑해요 베트남! 사랑해요 다낭! 사랑해요 하나투어!,"일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 열정적이에요
호텔이 시내에 있어요"
4,son******,가족여행으로 좋아요,30대,2023.11.04,여행동안 비가 많이 오긴 했지만 재미있게 잘 놀다 왔어요~ 가이드님도 괜찮았고 현지 음식도 입맛에 잘 맞아서 무사히 잘 여행하고 왔답니다^^ 오전에 바나힐 가는날 말고는 11시쯤에 일정이 시작이라 자유시간도 있고 해서 잘 활용하면 좋을 것 같아요~ 좋은 추억 만들고 와서 좋았답니다^^,"호텔이 시내에 있어요
일정이 알차요
일정이 여유로워요
현지 음식이 맛있어요"
5,lov*******,친구모임으로 좋아요,20대,2023.11.04,첫 해외여행 이여서 걱정 많이 했는데 너무너무 좋은 가이드님 만나서 좋은추억 만들고 왔어요 짧은시간에 많이 정이들어서 인지 돌아올때 너무 아쉬웠어요 베트남 살고싶은정도 (?) 홍반장 최고짱 🤍💙❤️,"객실이 깨끗해요
일정이 알차요
현지 음식이 맛있어요
가격만큼 가치 있어요
가이드가 배려 깊고 세심해요"
5,hye********,친구모임으로 좋아요,20대,2023.11.04,진짜 너무너무 재밌는 알찬 여행이었어요 홍반장님을 가이드로 만나서 너무 좋았고 여행내내 날씨가 놀때 비가 그쳐서 행운처럼 너무 좋았어요 💗 선택관광 일정 모두 완벽하고 호텔도 깨끗하고 정말 좋았어요 또 다음에 꼭 다시 가고싶을정도였습니당~~~!,"객실이 깨끗해요
일정이 알차요
현지 음식이 맛있어요
가이드가 전문적이에요
가이드가 배려 깊고 세심해요"
5,tcp***,가족여행으로 좋아요,50대,2023.11.02,"가성비 끝판왕이였습니다. 선택관광 하나도 아깝지않게 재미있었고. 아오자이쇼에 감동받을줄이야~ 음식도 우리 입맛에 맞게 식당 선정 잘해주시고 '선택관광, 쇼핑 3회' 에 얼굴 붉히지않을까 걱정했는데, 정말 매너있게 부담 하나 안주고 오히려 쇼핑 3회도 흥미로왔습니다. 이래서 다낭, 다낭 하고 이래서 하나투어, 하나투어 하는가봅니다. 우기철에 어려운 여건인데도 우리 가족 행복한 추억 만들어주신 '한규성' 가이드님 감사드립니다. 1등 여행사 1등 가이드십니다 ㅋ","객실 뷰가 좋아요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
4,pzz****,나홀로 여행으로 좋아요,30대,2023.10.30,첫 부모님과의 해외여행 많이 기대하고 갔어요 좋은점 1 음식이 맞지 않을가봐 두려웠는데 맛있었어요 2 가이드 친절하게 안내해줘서 좋았어요 좀 아쉬운 점 1 선택관광 자유이긴 하지만 선택하지 않을 시 할게 별로 없고 넘 비싼거 같아요. 모든 선택관광 가격이 배로 더 비싸게 받는지는 모르겠지만 원래 가격 알고는 선택하기 넘 부담스러웠어요 2 일정에 없던 선택관광 추가로 인하여 원래 일정이 조금 변동이 생겼고 자유시간이 거의 없어서 아쉬웠어요.,"호텔이 관광지와 가까워요
호텔이 시내에 있어요
객실 뷰가 좋아요
일정이 알차요
현지 음식이 맛있어요"
5,ksh***,나홀로 여행으로 좋아요,30대,2023.10.28,혼자 여행임에도 불구하고 저를 잘 챙겨주신 가이드님께 감사드립니다. 비가 많이 올 것이라고 예상을 했는데 날씨도 좋았고 일정 및 선택관광도 추천해주고 싶을 정도로 좋았습니다. 그리고 팀원들도 협조를 잘해주신 것도 한몫 했습니다. 다음에는 가족과 함께 여행을 할 예정입니다. 가이드님 최고입니다!!,"호텔이 시내에 있어요
즐길 거리가 다양해요
현지 음식이 맛있어요
가이드가 열정적이에요
가격이 합리적이에요"
4,wos*******,가족여행으로 좋아요,20대,2023.10.27,비가 너무 많이와서 힘들었는데 마지막날은 비가 안와서 좋은데 너무 더워서 힘들더라고요 음식점은 .. 다같이 먹는곳을 가니까 너무 사람많은 한국인들 많이 가는 그런곳 가서 좀 아쉬웠고 쇼핑같은경우 설명을 한시간 들으면서 살 줄은 몰랐어요 ..자유롭게 사는게 아니더라고요 귀가 얇아서 사긴했는데 싼거 아닌것같아요 가이드님들이 잘해주시고 재밌었어요,"호텔 부대시설이 좋아요
호텔에서 쉬기 좋아요
즐길 거리가 다양해요
가이드가 재밌어요"
5,kyo******,가족여행으로 좋아요,40대,2023.10.23,코로나땜에 4년만에 떠난 해외여행 큰 설레임 안고 간 여행이었는데 가족들도 모두 만족했고 음식도 다 맛있었고 패키지로 한팀을 이뤘던 다른 가족분들도 다들 좋은 분들이어서 여행 내내 기분이 좋았습니다 담당 가이드였던 태지원님 ~열정적이고 재밌는 이야기도 많이 해주시고 아이들 배려해서 다양한 체험할수 있게 애써주셔서 더 많은걸 하고 올수 있었네요 덕분에 많이 부지런히 바쁘게 다녀야 했지만 ㅎㅎ 몸이 힘든 만큼 정말 만족한 여행이었습니다 저희 패키지팀 25명 모두 어디서든 늘 건강하시고 하는일 다들 잘되시고 길거리 지나다 한번씩 스치...,"호텔이 관광지와 가까워요
호텔이 시내에 있어요
일정이 알차요
현지 음식이 맛있어요
가이드가 열정적이에요"
4,oil***,가족여행으로 좋아요,40대,2023.10.22,"#하나투어 #다낭여행 하나투어 다낭여행 패키지로 가족여행을 다녀온 총평!!*^^* 패키지 일정 : 기본적으로 1일차는 항공스케줄상 밤뱅기로가서 새벽에 도착하니... 1일차일정은 없다고 봐도 무방한듯, 그리고 5일차 일정도 어차피 새벽 비행기로 리턴이라 5일차 새벽에 인천으로 오는 일정이니 없다고 봐도 무방하고, 더군다나 5일차 일정에서 거의 반 이상을 쇼핑센터에서 보내니.. 실질적으로 '다낭'이라는곳을 여행하는 시간은 2일차, 3일차, 4일차반 정도로 보는게 맞을듯하다. 그 시간에 밥도먹고, 관광지도 가고, 옵션도하고해야하니......","현지 음식이 맛있어요
가격이 합리적이에요
가이드가 전문적이에요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요"
4,ssc*******,가족여행으로 좋아요,40대,2023.10.14,짧은 일정에 알차게 관광 하였습니다. 하지만 쇼핑에 대한 정보를 미리 알려 주지 않아 쇼핑 샵 방문시에 많은 부담감을 느꼈으며 미리 알려 주면 출발 하기전 검색이나 예산을 확보 할수 있을 것 같습니다.,"객실이 깨끗해요
호텔이 관광지와 가까워요
일정이 알차요
가격이 합리적이에요
가이드가 전문적이에요"
5,5**,가족여행으로 좋아요,50대,2023.10.08,가이드분의 세심한 배려로 즐겁게 다녀왔습니다 선택관광도 팀별로 상세하게 알려주시고. 마사지도 업그레드하여 추가부담없이 받을수있도록 안내해주시고 알차게 경험하고 왔습니다 홍반장 감사합니다,"객실 뷰가 좋아요
일정이 알차요
가격이 합리적이에요
가이드가 전문적이에요
가이드가 배려 깊고 세심해요"
5,피글렛,가족여행으로 좋아요,30대,2023.10.06,"부모님과 함께한 3박 5일 다낭 여행, 한종철 가이드님과 현지 가이드 투안 님 덕분에 너무 즐겁고 알차게 잘 다녀왔습니다. 베트남에 대해 설명도 잘 해주시고, 저희 일행들 세심하게 배려하고 챙겨주셔서 감사합니다. 날씨 요정도 함께해준 덕분에 다채로운 관광지를 모두 만족하며 관광할 수 있었어요! 저희 부모님도 다녀오셔서 대만족하셨습니다ㅎㅎ 다낭 한번 더 가고싶어요!","가이드가 전문적이에요
가이드가 배려 깊고 세심해요
가격이 합리적이에요
현지 음식이 다양해요
일정이 알차요"
5,erm*****,가족여행으로 좋아요,30대,2023.10.05,"3대가 함께하는 가족여행 너무 알차게 보내고 왔어요~대가족 케어해주시느라 박찬옥 가이드님과 현지가이드 껌~너무감사해요^^ 세심하게 챙겨주시고 부모님도 다음에 또 가고싶으시다고 칭찬 엄청 들었습니다. 부모님,아이들 모두 만족할만한 여행이였습니다. 바구니배는 부모님들 진짜좋아하시네요~ 바나힐도 만족~!! 날씨까지 완벽했던 코스였어요~숙소도 비치바로앞이고 호텔수영장도 이용하기좋았어요~!! 추석연휴 너무 잘지내고왔습니다~!!","객실이 깨끗해요
일정이 알차요
현지 음식이 다양해요
가격만큼 가치 있어요
가이드가 배려 깊고 세심해요"
5,sik****,가족여행으로 좋아요,30대,2023.10.03,호이안이 너무 좋았습니. 이국적이고 역사적인 도시의 모습이 기억에 많이 남습니다. 야경도 너무 좋았고 쇼핑하기도 너무 좋은 곳이네요. 베트남은 음식이 한국인들에게는 거부감이 없는게 강점인것 같습니다. 호텔 조식도 너무 맛있었어요. 한식이 그리워 때쯤 나오는 삼겹살은 역시 패키지의 꽃이죠 ㅎㅎ 호텔이 바닷가와 가까워서 본인이 부지런 하다면 일출도 보고 밤바다도 즐길수 있어요. 차밍쇼 굿굿이구요 다낭 유람선은 생각보다 밋밋해서 차라리 숙소에 빨리 들어가서 내일 여행을 위해 체력울 비축하는 것이 나은것 같아요.,"호텔이 관광지와 가까워요
일정이 알차요
현지 음식이 다양해요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
4,ale*****,가족여행으로 좋아요,60대,2023.10.02,여행을 예약하고서 보니 우리가 출발하는 날 다낭에 태풍이 북상하고 우기라고 해서 걱정반 근심반 우비며 우산을 챙겨서 갔는데 태풍은 소멸돼고 비도 일정을 마치면 오고 모든 여정이 순조롭게 진행이 되어서 감사하게도 여행을 다녀올 수 있었다 베트남은 1월에서 3월까지가 적기라고 하더니 역시 습도도 높고 더운날씨는 햇빛이 따갑다 이런 점 감안하고 선선할때 여행오는게 좋을 거 같다 그중에서 호이안 야경투어와 바나힐테마파크와 전신마사지가 가장 좋았다 페키지라 너무 볼거리에 맞추어서 일정이 아침부터 쫒아다녀서 피곤한 점도 있고 아쉬운점은 개...,가격이 합리적이에요
5,tit*****,가족여행으로 좋아요,40대,2023.09.30,"첫날 마지막날 빼고, 3일 내내 비가 왔지만 여행 일정 너무나 재미나고 아이들도 대만족이였다고 하네요.~^~. 필리핀 세부 여행때 비교해 알찬 일정 very good요. 아울러 현지가이드 짱님과 김현기님의 여행 오신 분 한분 한분 셰심한 배려 및 관광지 설명. 지루하지 않고 즐거웠습니다. 다시 짱님과 김현기님 리뷰로 감사 인사 전합니다. 항상 건강하시고,하시는 일마다 잘되길 기원합니다.","객실이 깨끗해요
일정이 알차요
식당이 청결해요
가이드가 열정적이에요"
5,pia****,가족여행으로 좋아요,20대,2023.09.28,세모녀 여행이였습니다 ~ 일정도 적당히 즐길 수 있을정도로 좋았구요 가족들과 소중한 추억 만들수 있었어서 정말 감사했어요~~ 특히 김문성 가이드님께서 꼼꼼히 챙겨주시고 배려해주시고 현지 설명 등 잘 가이드 해주셔서 더욱더 알찬 여행 되었던것 같습니다 ^^ 좋은 추억 남겨주셔서 감사드려요~~,"호텔이 시내에 있어요
가이드가 전문적이에요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요
가이드가 재밌어요"
5,hel*****,가족여행으로 좋아요,30대,2023.09.28,"이것 저것 알아보던 중에 , 선택지에도 없던 '베트남 다낭'을 어쩔 수 없이 선택하게 되었습니다. 그렇지만 가족끼리 함께했던 베트남 다낭이 최고의 여행지로 기억에 남게 되었네요. 우선 친절하시고 역사지식, 현지 지식도 빠삭하신 강혜영 부장님 덕분에! 너무나도 유익한 시간을 보낼 수 있었습니다. 무려 4그룹이 하나로 묶여진 따로따로의 집단 (연령도 제각각)을 다 통솔하시는 노련미. 그 누구 하나도 서운해(?) 하지 않을 그런 세심함, 배려심 등등 넘 만족스러웠습니다~~~~ 강혜영 부장님과 함께 있던 현지 가이드 '란' !! ...","호텔이 시내에 있어요
일정이 여유로워요
현지 음식이 맛있어요
가이드가 전문적이에요
가이드가 배려 깊고 세심해요"
5,청명,친구모임으로 좋아요,50대,2023.09.23,소중한 친구들과의 멋진 다낭 여행~ 너무 좋았어요~ 가이드 두분 주현님 미소님 멋지고 이쁜데 친절하기까지 최고예용~ㅎㅎ 풍경 음식 좋았고 생각보다 치안 좋아서 밤에 돌아 다니며 마트도 가고 잠시 야식도 먹어도 괜찮았어요. 다음에 또 가도 좋겠다는 생각이 듭니다. 굿~!,"객실 뷰가 좋아요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
5,두둥,나홀로 여행으로 좋아요,20대,2023.09.19,"일단 권진용 가이드님 너무 좋았어요 다음에 또 만나고 싶을 정도로 일정 자체를 유도리있게 조정을 잘 해주셨어요 블루베리음료수, 두리안, 사탕수수, 망고스틴, 망고주스 등등 여러가지를 사주셔서 맛있게 먹었어요! 바니힐에서는 자유시간을 2시간에서 3시간 정도를 주셨고 시간은 부족하지않았어요 너무 넉넉해서 재미있게 놀았습니다! 숙소는 제가 원하던 곳이 아니여서 너무 아쉬웠어요 ㅠㅠ 그래도 알차고 재미있던 여행이였습니다!! 다음엔 이집트로 패키지 여행을 가고 싶네요!!","일정이 알차요
즐길 거리가 다양해요
가이드가 전문적이에요
가이드가 배려 깊고 세심해요
가이드가 열정적이에요"
